timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
30505161,1533046242800329,405524422,-746633178,2818,-31605,0.69900006,3.1415925,7.5750003,11.628,1.9399999,2.22,93,127,0.013,0.010000001,-0.008,-0.102000006,0.0,0,3,1,6
30705861,1533046243000329,405524435,-746633165,2421,-32002,0.85700005,3.1415925,7.4340005,11.417001,1.9399999,2.22,93,127,0.060000002,0.009000001,0.059000004,-0.089,0.0,0,3,1,6
30903395,1533046243200329,405524447,-746633151,2029,-32394,0.725,3.1415925,7.3030005,11.236,1.9399999,2.22,93,127,0.028,-0.018000001,-0.022000002,-0.035,0.0,0,3,1,6
31104332,1533046243400329,405524462,-746633141,1559,-32864,0.75900006,3.1415925,7.1790004,11.064,1.9399999,2.22,93,120,0.07300001,0.029000001,-0.067,-0.047000002,0.0,0,3,1,6
31305294,1533046243600329,405524474,-746633133,1151,-33272,0.91,3.1415925,7.0620003,10.901001,1.9399999,2.22,93,120,0.12900001,-0.011000001,-0.12900001,-0.035,0.0,0,3,1,6
32505595,1533046244800330,405524555,-746633072,-1527,-35949,0.63600004,3.1415925,6.433,10.023001,1.9399999,2.22,93,112,0.14400001,0.143,0.010000001,0.165,0.0,0,3,1,6
32704320,1533046245000331,405524569,-746633061,-1939,-36362,0.64000005,3.1415925,6.334,9.887,1.9399999,2.22,93,112,0.101,0.095000006,0.033,0.158,0.0,0,3,1,6
32906729,1533046245200331,405524584,-746633052,-2355,-36777,0.69200003,3.1415925,6.2400002,9.757001,1.9399999,2.22,93,112,0.115,0.049000002,0.104,0.17400001,0.0,0,3,1,6
33104335,1533046245400331,405524598,-746633041,-2775,-37198,0.661,3.1415925,6.149,9.619,1.9399999,2.22,93,134,0.125,0.11000001,0.059000004,0.158,0.0,0,3,1,6
33304492,1533046245600331,405524616,-746633035,-3266,-37689,0.703,3.1415925,6.057,9.483001,1.9399999,2.22,93,134,0.042000003,-0.031000001,-0.028,0.18,0.0,0,3,1,6
33505321,1533046245800331,405524628,-746633027,-3613,-38036,0.81600004,3.1415925,5.953,9.331,1.9399999,2.22,93,134,0.14,0.025,-0.13800001,0.032,0.0,0,3,1,6
33703442,1533046246000332,405524645,-746633020,-3981,-38404,0.69100004,3.1415925,5.86,9.187,1.9399999,2.22,93,134,0.056,0.05,0.026,0.040000003,0.0,0,3,1,6
33904378,1533046246200332,405524655,-746633013,-4152,-38575,0.59400004,3.1415925,5.7730002,9.049001,1.9399999,2.22,93,134,0.079,-0.079,0.003,-0.135,0.0,0,3,1,6
34104474,1533046246400332,405524663,-746633011,-4151,-38573,0.62600005,3.1415925,5.689,8.919001,1.9399999,2.22,87,132,0.003,0.001,0.003,-0.143,0.0,0,3,1,6
34305321,1533046246600332,405524673,-746633005,-4171,-38594,0.66,3.1415925,5.591,8.784,1.9399999,2.22,87,132,0.093,0.065000005,0.067,-0.238,0.0,0,3,1,6
34505296,1533046246800332,405524682,-746632998,-4216,-38639,0.629,3.1415925,5.499,8.655001,1.9399999,2.22,87,132,0.045,0.004,0.045,-0.178,0.0,0,3,1,6
34707365,1533046247000332,405524691,-746632984,-4102,-38525,0.55,3.1415925,5.327,8.486,1.9399999,2.22,87,132,0.108,-0.089,-0.061000004,-0.20400001,0.0,0,3,1,6
34904338,1533046247200333,405524699,-746632972,-3978,-38401,0.535,3.1415925,5.176,8.333,1.9399999,2.22,87,132,0.063,-0.059000004,0.023000002,-0.22600001,0.0,0,3,1,6
35101328,1533046247400333,405524702,-746632962,-3735,-38158,0.53900003,3.1415925,5.0420003,8.192,1.9399999,2.22,87,132,0.10300001,-0.061000004,0.08400001,-0.13900001,0.0,0,3,1,6
35306306,1533046247600333,405524693,-746632960,-3384,-37807,0.531,3.1415925,4.9570003,8.082001,1.9399999,2.22,87,132,0.112,-0.112,-0.006,-0.148,0.0,0,3,1,6
35505384,1533046247800333,405524689,-746632959,-3118,-37541,0.55,3.1415925,4.8770003,7.9760003,1.9399999,2.22,87,132,0.135,-0.125,-0.051000003,-0.22000001,0.0,0,3,1,6
35706314,1533046248000333,405524686,-746632956,-2960,-37383,0.63600004,3.1415925,4.7980003,7.873,1.9399999,2.22,87,132,0.16100001,-0.060000002,0.15,-0.1,0.0,0,3,1,6
35908378,1533046248200334,405524702,-746632941,-2856,-37279,0.573,3.1415925,4.576,7.4760003,1.43,2.02,87,132,0.095000006,-0.034,0.089,-0.16600001,0.0,0,3,1,7
36107796,1533046248400334,405524712,-746632928,-2657,-37079,0.55700004,3.1415925,4.3970003,7.1570005,1.43,2.02,87,168,0.018000001,0.002,0.018000001,-0.093,0.0,0,3,1,7
36305295,1533046248600334,405524722,-746632916,-2513,-36936,0.55700004,3.1415925,4.247,6.892,1.43,2.02,87,168,0.094000004,-0.032,0.08800001,-0.13700001,0.0,0,3,1,7
36502333,1533046248800334,405524731,-746632907,-2322,-36745,0.508,3.1415925,4.1200004,6.6660004,1.43,2.02,87,168,0.095000006,0.091000006,0.025,-0.054,0.0,0,3,1,7
36707416,1533046249000334,405524740,-746632900,-2190,-36613,0.437,3.1415925,4.004,6.465,1.43,2.02,87,168,0.046000004,-0.036000002,-0.028,-0.048,0.0,0,3,1,7
36904298,1533046249200334,405524745,-746632893,-2045,-36468,0.46800002,3.1415925,3.9010003,6.288,1.43,2.02,87,168,0.048,-0.046000004,0.015000001,-0.031000001,0.0,0,3,1,7
37104569,1533046249400335,405524752,-746632887,-1920,-36343,0.526,3.1415925,3.808,6.13,1.43,2.02,87,139,0.093,-0.064,0.068,-0.051000003,0.0,0,3,1,7
37304601,1533046249600335,405524760,-746632884,-1837,-36260,0.40100002,3.1415925,3.6970003,5.9690003,1.43,2.02,87,139,0.064,-0.063,-0.009000001,-0.032,0.0,0,3,1,7
37505356,1533046249800335,405524768,-746632881,-1739,-36162,0.45400003,3.1415925,3.581,5.8170004,1.43,2.02,87,139,0.085,-0.083000004,0.020000001,-0.136,0.0,0,3,1,7
37707423,1533046250000335,405524777,-746632878,-1680,-36103,0.49,3.1415925,3.4770002,5.6780005,1.43,2.02,87,139,0.062000003,-0.042000003,0.047000002,-0.07300001,0.0,0,3,1,7
37904296,1533046250200335,405524790,-746632880,-1627,-36050,0.462,3.1415925,3.3830001,5.552,1.43,2.02,87,139,0.009000001,0.0050000004,-0.007,-0.15100001,0.0,0,3,1,7
38105466,1533046250400336,405524799,-746632880,-1513,-35936,0.44400004,3.1415925,3.308,5.4370003,1.43,2.02,87,100,0.026,-0.014,-0.022000002,-0.156,0.0,0,3,1,7
38305594,1533046250600336,405524811,-746632881,-1497,-35920,0.512,3.1415925,3.2400002,5.3310003,1.43,2.02,87,100,0.054,0.004,0.054,-0.097,0.0,0,3,1,7
38506295,1533046250800336,405524824,-746632884,-1537,-35959,0.47700003,3.1415925,3.176,5.2330003,1.43,2.02,87,100,0.066,0.065000005,0.015000001,-0.125,0.0,0,3,1,7
38707408,1533046251000336,405524841,-746632885,-1551,-35974,0.46,3.1415925,3.1120002,5.1390004,1.43,2.02,87,100,0.010000001,0.010000001,-0.001,-0.126,0.0,0,3,1,7
38907865,1533046251200336,405524850,-746632879,-1474,-35897,0.50200003,3.1415925,3.052,5.051,1.43,2.02,87,100,0.052,0.018000001,0.049000002,-0.106000006,0.0,0,3,1,7
39105445,1533046251400337,405524857,-746632872,-1354,-35777,0.45700002,3.1415925,2.996,4.9690003,1.43,2.02,87,97,0.017,-0.014,0.010000001,-0.135,0.0,0,3,1,7
39301323,1533046251600337,405524863,-746632865,-1253,-35676,0.50100005,2.7242496,2.9450002,4.892,1.43,2.02,87,97,0.135,0.001,0.135,-0.266,0.0,0,3,1,7
39506297,1533046251800337,405524870,-746632858,-1129,-35552,0.485,2.7242546,2.8920002,4.8170004,1.43,2.02,87,97,0.07300001,0.027,0.068,-0.23600002,0.0,0,3,1,7
39706603,1533046252000337,405524875,-746632852,-1017,-35440,0.47300002,2.7242594,2.8470001,4.748,1.43,2.02,87,97,0.132,-0.083000004,0.10300001,-0.238,0.0,0,3,1,7
39907368,1533046252200337,405524880,-746632847,-985,-35408,0.46600002,2.724264,2.799,4.681,1.43,2.02,87,97,0.11800001,-0.082,0.085,-0.24100001,0.0,0,3,1,7
40105303,1533046252400337,405524885,-746632846,-968,-35391,0.453,2.7242684,2.7470002,4.6010003,1.43,2.02,87,119,0.042000003,-0.011000001,0.041,-0.125,0.0,0,3,1,7
40305297,1533046252600338,405524893,-746632845,-925,-35348,0.44700003,2.7242732,2.6980002,4.525,1.43,2.02,87,119,0.094000004,0.078,0.051000003,-0.246,0.0,0,3,1,7
40504404,1533046252800338,405524899,-746632844,-891,-35314,0.453,2.7242777,2.6480002,4.4440002,1.43,2.02,87,119,0.087000005,-0.031000001,0.081,-0.141,0.0,0,3,1,7
40703381,1533046253000338,405524902,-746632844,-844,-35266,0.37,2.7242815,2.601,4.368,1.43,2.02,87,119,0.079,-0.063,-0.048,-0.12200001,0.0,0,3,1,7
40906296,1533046253200338,405524906,-746632844,-827,-35250,0.462,2.724286,2.562,4.3100004,1.43,2.02,87,119,0.059000004,-0.036000002,0.048,-0.108,0.0,0,3,1,7
41104388,1533046253400338,405524909,-746632842,-762,-35185,0.441,2.7242906,2.5300002,4.256,1.43,2.02,87,86,0.006,0.001,-0.006,-0.108,0.0,0,3,1,7
41306294,1533046253600339,405524914,-746632841,-737,-35159,0.45200002,2.7242951,2.499,4.2050004,1.43,2.02,87,86,0.016,0.009000001,0.013,-0.156,0.0,0,3,1,7
41505375,1533046253800339,405524919,-746632842,-711,-35134,0.43500003,2.7242992,2.463,4.142,1.43,2.02,87,86,0.030000001,0.030000001,0.003,-0.147,0.0,0,3,1,7
41706356,1533046254000339,405524924,-746632841,-689,-35111,0.45100003,2.7243037,2.4290001,4.083,1.43,2.02,87,86,0.057000004,0.014,0.055000003,-0.13100001,0.0,0,3,1,7
41924310,1533046254200339,405524937,-746632760,-269,-34692,0.354,2.7243075,2.312,3.9450002,0.94,1.35,87,86,0.049000002,-0.049000002,0.0050000004,-0.079,0.0,0,3,1,13
42111418,1533046254400339,405524947,-746632703,12,-34411,0.347,2.724311,2.22,3.834,0.94,1.35,87,95,0.024,-0.019000001,0.015000001,-0.098000005,0.0,0,3,1,13
42313294,1533046254600339,405524956,-746632658,230,-34193,0.34100002,2.7243142,2.1390002,3.7240002,0.94,1.35,87,95,0.049000002,-0.038000003,0.031000001,-0.135,0.0,0,3,1,13
42513338,1533046254800340,405524964,-746632621,541,-33882,0.31500003,2.7243173,2.0700002,3.614,0.94,1.35,87,95,0.013,0.013,-0.002,-0.12100001,0.0,0,3,1,13
42711463,1533046255000340,405524970,-746632589,839,-33584,0.33200002,2.724321,2.009,3.515,0.94,1.35,87,95,0.074,-0.045,0.059000004,-0.12900001,0.0,0,3,1,13
42911393,1533046255200340,405524974,-746632562,1116,-33307,0.27600002,2.7243237,1.9540001,3.4220002,0.94,1.35,87,95,0.081,-0.07700001,-0.025,-0.059000004,0.0,0,3,1,13
43112326,1533046255400340,405524977,-746632538,1308,-33115,0.29200003,2.7243266,1.9050001,3.3430002,0.94,1.35,87,93,0.057000004,-0.054,-0.018000001,-0.083000004,0.0,0,3,1,13
43310323,1533046255600340,405524980,-746632515,1532,-32891,0.32900003,2.72433,1.8610001,3.2700002,0.94,1.35,87,93,0.125,-0.096,0.079,-0.155,0.0,0,3,1,13
43512141,1533046255800341,405524982,-746632495,1750,-32673,0.30600002,2.724333,1.82,3.2010002,0.94,1.35,87,93,0.082,-0.078,0.026,-0.07700001,0.0,0,3,1,13
43713043,1533046256000341,405524986,-746632478,1918,-32505,0.31100002,2.724336,1.7820001,3.137,0.94,1.35,87,93,0.017,-0.015000001,0.008,-0.147,0.0,0,3,1,13
43913999,1533046256200341,405524989,-746632462,2106,-32317,0.314,2.724339,1.746,3.0770001,0.94,1.35,87,93,0.029000001,-0.003,0.029000001,-0.102000006,0.0,0,3,1,13
44112303,1533046256400341,405524991,-746632448,2237,-32185,0.291,2.724342,1.7140001,3.0210001,0.94,1.35,87,98,0.105000004,-0.098000005,0.040000003,-0.034,0.0,0,3,1,13
44313316,1533046256600341,405524993,-746632436,2392,-32031,0.307,2.724345,1.6840001,2.969,0.94,1.35,87,98,0.026,0.009000001,0.024,-0.07,0.0,0,3,1,13
44513321,1533046256800341,405524994,-746632421,2594,-31829,0.32000002,2.724348,1.6550001,2.9190001,0.94,1.35,87,98,0.068,-0.035,0.059000004,-0.096,0.0,0,3,1,13
44710299,1533046257000342,405524995,-746632408,2772,-31651,0.32000002,2.7243516,1.6290001,2.871,0.94,1.35,87,98,0.053000003,-0.042000003,0.032,-0.101,0.0,0,3,1,13
44912318,1533046257200342,405524996,-746632396,2934,-31489,0.307,2.7243547,1.6040001,2.8270001,0.94,1.35,87,98,0.061000004,0.028,0.054,-0.16900001,0.0,0,3,1,13
45112379,1533046257400342,405524997,-746632385,3109,-31314,0.30200002,2.7243578,1.58,2.785,0.94,1.35,87,105,0.015000001,0.008,-0.013,-0.106000006,0.0,0,3,1,13
45310324,1533046257600342,405524998,-746632375,3258,-31164,0.30800003,2.724361,1.557,2.7440002,0.94,1.35,87,105,0.009000001,0.003,0.009000001,-0.083000004,0.0,0,3,1,13
45512381,1533046257800342,405524997,-746632364,3432,-30991,0.31800002,2.7243643,1.534,2.6990001,0.94,1.35,87,105,0.093,-0.055000003,0.075,-0.11000001,0.0,0,3,1,13
45711341,1533046258000343,405524996,-746632354,3607,-30815,0.31,2.7243674,1.5120001,2.6560001,0.94,1.35,87,105,0.047000002,-0.044000003,0.016,-0.089,0.0,0,3,1,13
45912319,1533046258200343,405524995,-746632345,3784,-30639,0.31300002,2.7243705,1.491,2.6160002,0.94,1.35,87,105,0.030000001,-0.023000002,0.020000001,-0.1,0.0,0,3,1,13
46108344,1533046258400343,405524994,-746632336,3950,-30473,0.31,2.7243736,1.4720001,2.578,0.94,1.35,87,88,0.062000003,-0.038000003,0.05,-0.045,0.0,0,3,1,13
46313295,1533046258600343,405524992,-746632327,4118,-30305,0.31100002,2.7243767,1.4530001,2.542,0.94,1.35,87,88,0.033,-0.029000001,0.016,-0.040000003,0.0,0,3,1,13
46513104,1533046258800343,405524991,-746632318,4278,-30145,0.27800003,2.7243795,1.432,2.5010002,0.94,1.35,87,88,0.063,-0.057000004,0.026,0.008,0.0,0,3,1,13
46711346,1533046259000343,405524990,-746632309,4406,-30017,0.294,2.7243826,1.414,2.4680002,0.94,1.35,87,88,0.076000005,-0.060000002,0.047000002,-0.017,0.0,0,3,1,13
46911499,1533046259200344,405524989,-746632300,4549,-29874,0.22600001,2.7243848,1.3970001,2.437,0.94,1.35,87,88,0.080000006,-0.076000005,-0.024,-0.018000001,0.0,0,3,1,13
47112303,1533046259400344,405524989,-746632293,4655,-29768,0.30400002,2.724388,1.381,2.407,0.94,1.35,87,86,0.012,-0.012,0.003,-0.038000003,0.0,0,3,1,13
47313320,1533046259600344,405524989,-746632285,4769,-29654,0.31,2.724391,1.3640001,2.378,0.94,1.35,87,86,0.060000002,-0.042000003,0.043,-0.108,0.0,0,3,1,13
47508496,1533046259800344,405524990,-746632278,4880,-29543,0.30900002,2.7243943,1.348,2.351,0.94,1.35,87,86,0.027,-0.021000002,0.016,-0.05,0.0,0,3,1,13
47714326,1533046260000344,405524991,-746632272,4980,-29443,0.30200002,2.7243974,1.3330001,2.3240001,0.94,1.35,87,86,0.029000001,0.013,-0.026,0.029000001,0.0,0,3,1,13
47915392,1533046260200345,405524992,-746632266,5075,-29348,0.293,2.7244005,1.3180001,2.299,0.94,1.35,87,86,0.048,-0.048,0.004,-0.076000005,0.0,0,3,1,13
48112327,1533046260400345,405524993,-746632261,5175,-29248,0.30100003,2.7244036,1.3060001,2.278,0.94,1.35,88,96,0.010000001,0.010000001,0.001,-0.072000004,0.0,0,3,1,13
48313323,1533046260600345,405524995,-746632256,5264,-29159,0.29200003,2.7244067,1.2950001,2.259,0.94,1.35,88,96,0.042000003,0.040000003,0.014,-0.09900001,0.0,0,3,1,13
48513380,1533046260800345,405524996,-746632251,5375,-29048,0.31500003,2.7244098,1.284,2.24,0.94,1.35,88,96,0.036000002,-0.023000002,0.028,-0.074,0.0,0,3,1,13
48712829,1533046261000345,405524997,-746632246,5454,-28969,0.31,2.7244127,1.274,2.2220001,0.94,1.35,88,96,0.018000001,-0.006,0.017,-0.125,0.0,0,3,1,13
48911403,1533046261200346,405524999,-746632243,5529,-28894,0.294,2.7244158,1.264,2.204,0.94,1.35,88,96,0.032,-0.013,-0.029000001,-0.11400001,0.0,0,3,1,13
49114608,1533046261400346,405525000,-746632239,5608,-28815,0.30800003,2.7244186,1.2550001,2.187,0.94,1.35,88,110,0.001,0.0,-0.001,-0.106000006,0.0,0,3,1,13
49313320,1533046261600346,405525000,-746632235,5696,-28727,0.30800003,2.7244217,1.246,2.171,0.94,1.35,88,110,0.003,-0.002,0.003,-0.021000002,0.0,0,3,1,13
49513316,1533046261800346,405525001,-746632231,5782,-28641,0.31500003,2.7244248,1.2370001,2.1550002,0.94,1.35,88,110,0.036000002,-0.014,0.033,-0.07700001,0.0,0,3,1,13
49714314,1533046262000346,405525001,-746632229,5852,-28571,0.30200002,2.7244282,1.228,2.14,0.94,1.35,88,110,0.041,-0.041,-0.001,-0.09900001,0.0,0,3,1,13
49914564,1533046262200346,405525002,-746632226,5910,-28513,0.31300002,2.7244313,1.22,2.1260002,0.94,1.35,88,110,0.035,-0.011000001,0.033,-0.08800001,0.0,0,3,1,13
50115458,1533046262400347,405525002,-746632223,5975,-28448,0.307,2.7244344,1.212,2.111,0.94,1.35,88,90,0.13800001,-0.119,0.07,-0.12200001,0.0,0,3,1,13
50308319,1533046262600347,405525001,-746632221,6070,-28353,0.24200001,2.7244368,1.2030001,2.094,0.94,1.35,88,90,0.043,-0.017,-0.039,-0.045,0.0,0,3,1,13
50510297,1533046262800347,405525002,-746632219,6183,-28240,0.305,2.7244399,1.1960001,2.0760002,0.94,1.35,88,90,0.022000002,0.003,0.022000002,-0.1,0.0,0,3,1,13
50713318,1533046263000347,405525002,-746632217,6282,-28141,0.30600002,2.7244427,1.1880001,2.059,0.94,1.35,88,90,0.012,-0.002,0.012,-0.05,0.0,0,3,1,13
50913815,1533046263200347,405525003,-746632215,6366,-28057,0.30200002,2.7244458,1.1810001,2.042,0.94,1.35,88,90,0.038000003,0.003,0.038000003,-0.123,0.0,0,3,1,13
51112340,1533046263400348,405525003,-746632213,6461,-27961,0.30600002,2.724449,1.1750001,2.026,0.94,1.35,88,97,0.047000002,-0.013,0.045,-0.08800001,0.0,0,3,1,13
51313324,1533046263600348,405525003,-746632212,6536,-27887,0.291,2.7244518,1.1680001,2.0110002,0.94,1.35,88,97,0.105000004,-0.09900001,0.036000002,-0.060000002,0.0,0,3,1,13
51513313,1533046263800348,405525002,-746632211,6616,-27807,0.30600002,2.7244549,1.1620001,1.996,0.94,1.35,88,97,0.030000001,-0.009000001,0.029000001,-0.057000004,0.0,0,3,1,13
51708423,1533046264000348,405525002,-746632209,6698,-27725,0.30600002,2.724458,1.156,1.9820001,0.94,1.35,88,97,0.013,-0.011000001,0.006,-0.040000003,0.0,0,3,1,13
51914323,1533046264200348,405525002,-746632208,6758,-27665,0.307,2.7244613,1.1500001,1.9700001,0.94,1.35,88,97,0.096,-0.086,0.041,-0.08800001,0.0,0,3,1,13
52115377,1533046264400348,405525001,-746632206,6848,-27575,0.303,2.7244644,1.1450001,1.9590001,0.94,1.35,88,84,0.042000003,-0.002,0.042000003,-0.079,0.0,0,3,1,13
52313321,1533046264600349,405525001,-746632203,6947,-27476,0.30200002,2.7244675,1.1400001,1.9480001,0.94,1.35,88,84,0.039,0.014,0.036000002,-0.126,0.0,0,3,1,13
52513381,1533046264800349,405525001,-746632201,7032,-27391,0.31100002,2.7244706,1.1350001,1.937,0.94,1.35,88,84,0.046000004,-0.019000001,0.042000003,-0.117000006,0.0,0,3,1,13
52714515,1533046265000349,405525001,-746632199,7116,-27307,0.296,2.7244735,1.131,1.927,0.94,1.35,88,84,0.07700001,0.028,0.072000004,-0.16600001,0.0,0,3,1,13
52911345,1533046265200349,405525001,-746632197,7181,-27242,0.28500003,2.7244763,1.1270001,1.9200001,0.94,1.35,88,84,0.067,-0.057000004,-0.035,-0.149,0.0,0,3,1,13
53110545,1533046265400349,405525001,-746632197,7230,-27193,0.316,2.7244794,1.1240001,1.9130001,0.94,1.35,88,85,0.064,-0.052,0.037,-0.113000005,0.0,0,3,1,13
53313298,1533046265600350,405525001,-746632195,7277,-27145,0.317,2.7244825,1.12,1.9060001,0.94,1.35,88,85,0.061000004,-0.032,0.052,-0.071,0.0,0,3,1,13
53512364,1533046265800350,405525000,-746632193,7337,-27086,0.31,2.7244856,1.1170001,1.9000001,0.94,1.35,88,85,0.023000002,0.001,0.023000002,-0.045,0.0,0,3,1,13
53713316,1533046266000350,405525000,-746632192,7369,-27054,0.293,2.7244885,1.1140001,1.8930001,0.94,1.35,88,85,0.069000006,-0.068,-0.010000001,-0.101,0.0,0,3,1,13
53920252,1533046266200350,405524999,-746632192,7402,-27021,0.28300002,2.7244914,1.11,1.886,0.9,1.35,88,85,0.047000002,-0.043,-0.019000001,-0.075,0.0,0,3,1,14
54111374,1533046266400350,405524998,-746632191,7465,-26958,0.298,2.724494,1.107,1.881,0.9,1.35,88,93,0.017,0.017,0.002,-0.045,0.0,0,3,1,14
54311394,1533046266600350,405524999,-746632191,7497,-26925,0.287,2.724497,1.1040001,1.8750001,0.9,1.35,88,93,0.038000003,-0.008,-0.037,-0.102000006,0.0,0,3,1,14
54507399,1533046266800351,405524998,-746632190,7572,-26850,0.192,2.724499,1.1010001,1.8690001,0.9,1.35,88,93,0.036000002,0.031000001,0.019000001,-0.003,0.0,0,3,1,14
54710318,1533046267000351,405524998,-746632188,7625,-26798,0.323,2.7245023,1.098,1.8640001,0.9,1.35,88,93,0.089,-0.054,0.07,-0.115,0.0,0,3,1,14
54910378,1533046267200351,405524998,-746632187,7653,-26770,0.317,2.7245052,1.095,1.858,0.9,1.35,88,93,0.043,-0.012,0.041,-0.08800001,0.0,0,3,1,14
55110336,1533046267400351,405524998,-746632186,7683,-26739,0.31800002,2.7245088,1.092,1.8540001,0.9,1.35,88,92,0.081,-0.056,0.059000004,-0.042000003,0.0,0,3,1,14
55312320,1533046267600351,405524998,-746632186,7711,-26712,0.31500003,2.7245119,1.09,1.8490001,0.9,1.35,88,92,0.089,0.054,-0.071,0.042000003,0.0,0,3,1,14
55509329,1533046267800352,405524999,-746632187,7733,-26690,0.323,2.724515,1.088,1.845,0.9,1.35,88,92,0.037,-0.018000001,0.032,-0.065000005,0.0,0,3,1,14
55709297,1533046268000352,405524998,-746632186,7773,-26650,0.323,2.7245185,1.0860001,1.8410001,0.9,1.35,88,92,0.051000003,-0.021000002,0.046000004,-0.060000002,0.0,0,3,1,14
55909295,1533046268200352,405524998,-746632185,7841,-26582,0.28100002,2.7245212,1.0840001,1.8370001,0.9,1.35,88,92,0.061000004,0.05,0.033,-0.09200001,0.0,0,3,1,14
56111373,1533046268400352,405524999,-746632185,7856,-26567,0.32000002,2.7245247,1.082,1.8330001,0.9,1.35,88,91,0.061000004,-0.058000002,0.020000001,-0.101,0.0,0,3,1,14
56310299,1533046268600352,405524998,-746632185,7919,-26504,0.32500002,2.7245278,1.0810001,1.8290001,0.9,1.35,88,91,0.09200001,-0.076000005,0.052,-0.16700001,0.0,0,3,1,14
56511550,1533046268800352,405524998,-746632185,7960,-26462,0.305,2.724531,1.079,1.825,0.9,1.35,88,91,0.014,-0.002,-0.014,-0.10300001,0.0,0,3,1,14
56709321,1533046269000353,405524998,-746632186,8001,-26422,0.314,2.7245343,1.077,1.82,0.9,1.35,88,91,0.013,-0.003,0.013,-0.105000004,0.0,0,3,1,14
56910319,1533046269200353,405524998,-746632185,8047,-26376,0.321,2.7245376,1.074,1.8140001,0.9,1.35,88,91,0.062000003,-0.036000002,0.05,-0.112,0.0,0,3,1,14
57110883,1533046269400353,405524999,-746632185,8081,-26342,0.30100003,2.7245407,1.072,1.8090001,0.9,1.35,88,92,0.045,0.002,0.045,-0.066,0.0,0,3,1,14
57311364,1533046269600353,405524999,-746632184,8121,-26302,0.324,2.7245436,1.0710001,1.8060001,0.9,1.35,88,92,0.07,-0.041,0.057000004,-0.074,0.0,0,3,1,14
57511404,1533046269800353,405524999,-746632183,8171,-26252,0.31100002,2.7245467,1.069,1.8050001,0.9,1.35,88,92,0.036000002,0.014,0.034,-0.13000001,0.0,0,3,1,14
57711369,1533046270000354,405525000,-746632183,8212,-26211,0.326,2.7245502,1.0680001,1.8030001,0.9,1.35,88,92,0.041,-0.028,0.030000001,-0.078,0.0,0,3,1,14
57910318,1533046270200354,405525000,-746632183,8241,-26182,0.34800002,2.7245538,1.069,1.8030001,0.9,1.35,88,92,0.057000004,-0.037,0.044000003,-0.061000004,0.0,0,3,1,14
58110333,1533046270400354,405525000,-746632182,8276,-26147,0.32500002,2.7245572,1.0710001,1.8040001,0.9,1.35,94,78,0.036000002,-0.036000002,-0.0050000004,-0.039,0.0,0,3,1,14
58311364,1533046270600354,405525000,-746632183,8284,-26139,0.36100003,2.7245607,1.0730001,1.8050001,0.9,1.35,94,78,0.062000003,-0.055000003,0.027,-0.034,0.0,0,3,1,14
58507411,1533046270800354,405524999,-746632184,8301,-26122,0.34500003,2.7245643,1.075,1.807,0.9,1.35,94,78,0.054,-0.054,0.006,-0.067,0.0,0,3,1,14
58711375,1533046271000355,405524999,-746632184,8328,-26095,0.36,2.7245677,1.08,1.8110001,0.9,1.35,94,78,0.021000002,0.011000001,0.018000001,-0.081,0.0,0,3,1,14
58909403,1533046271200355,405525000,-746632185,8328,-26095,0.37800002,2.7245715,1.085,1.815,0.9,1.35,94,78,0.049000002,-0.038000003,0.032,-0.074,0.0,0,3,1,14
59110349,1533046271400355,405524999,-746632184,8360,-26063,0.36800003,2.7245753,1.0910001,1.82,0.9,1.35,94,114,0.060000002,-0.060000002,-0.001,0.004,0.0,0,3,1,14
59310322,1533046271600355,405524999,-746632185,8372,-26050,0.38500002,2.7245793,1.0960001,1.8260001,0.9,1.35,94,114,0.1,-0.09,0.044000003,-0.18200001,0.0,0,3,1,14
59509824,1533046271800355,405524999,-746632186,8400,-26023,0.38200003,2.7245831,1.102,1.8320001,0.9,1.35,94,114,0.066,-0.065000005,0.015000001,-0.116000004,0.0,0,3,1,14
59709377,1533046272000355,405524998,-746632186,8426,-25997,0.379,2.724587,1.108,1.838,0.9,1.35,94,114,0.07700001,-0.027,0.072000004,-0.11800001,0.0,0,3,1,14
59908966,1533046272200356,405524999,-746632186,8452,-25971,0.38300002,2.7245908,1.1140001,1.845,0.9,1.35,94,114,0.036000002,-0.033,0.014,-0.093,0.0,0,3,1,14
60110387,1533046272400356,405525000,-746632187,8456,-25967,0.354,2.724594,1.1190001,1.8500001,0.9,1.35,94,95,0.044000003,-0.002,0.043,-0.032,0.0,0,3,1,14
60311368,1533046272600356,405525000,-746632187,8482,-25941,0.37800002,2.7245982,1.1240001,1.8560001,0.9,1.35,94,95,0.08800001,-0.027,0.08400001,-0.16000001,0.0,0,3,1,14
60510366,1533046272800356,405525001,-746632188,8506,-25917,0.347,2.7246015,1.1270001,1.8600001,0.9,1.35,94,95,0.032,0.009000001,0.031000001,-0.098000005,0.0,0,3,1,14
60709384,1533046273000356,405525002,-746632189,8526,-25897,0.36,2.7246053,1.13,1.863,0.9,1.35,94,95,0.052,-0.051000003,-0.008,-0.12200001,0.0,0,3,1,14
