timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous._padding0,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current._padding0,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next._padding0
301490055,0,40.55249911022123,-74.66323643870487,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,2.8124733,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
301690110,0,40.55249911022123,-74.66323643870487,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,2.8124733,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
301741557,0,40.55249911022123,-74.66323643870487,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,2.8124733,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,-0.7644855,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
426335391,0,40.55249911022123,-74.66323643870487,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,2.8124733,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,3,0,0,0,0,1,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,-0.7644855,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,5,0,0,0,0,0,0,-1,0,0,0,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
465443884,0,40.55249786376953,-74.6632308959961,0.0,0.0,0.0,0.0,0.0,0.0,7.4635096,-0.7644855,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,5,0,0,0,0,0,0,-1,0,0,0,0,40.55250637868156,-74.66326268672282,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,-3.0449893,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
468194606,0,40.55250637868156,-74.66326268672282,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,-3.0449893,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,7.396998,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
468391441,0,40.55250637868156,-74.66326268672282,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,-3.0449893,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,7.396998,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
468591603,0,40.55250637868156,-74.66326268672282,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,-3.0449893,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,7.396998,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
468791378,0,40.55250637868156,-74.66326268672282,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,-3.0449893,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,7.396998,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
468991973,0,40.55250637868156,-74.66326268672282,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,-3.0449893,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,7.396998,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.55250549316406,-74.66326141357422,0.0,0.0,0.0,0.0,0.0,0.0,6.4676924,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.1,-1.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
